Date,Home Team,Score,Away Team
22-06-2023,CA Central Córdoba de Santiago del Estero,0 - 0,Gimnasia LP
03-07-2023,Newells,2 - 2,Gimnasia LP
07-07-2023,Gimnasia LP,1 - 1,CA Independiente
12-07-2023,CA Tucuman,2 - 0,Gimnasia LP
16-07-2023,Gimnasia LP,? - ?,Boca Juniors
30-01-2023,Barracas Central,0 - 1,Godoy Cruz
06-02-2023,Godoy Cruz,1 - 0,Colon
11-02-2023,San Lorenzo,1 - 0,Godoy Cruz
18-02-2023,Godoy Cruz,0 - 1,Estudiantes LP
25-02-2023,Rosario Central,1 - 0,Godoy Cruz
06-03-2023,Godoy Cruz,2 - 0,Racing Club
12-03-2023,River Plate,3 - 0,Godoy Cruz
19-03-2023,Godoy Cruz,3 - 1,Belgrano Cordoba
31-03-2023,Argentinos Jrs,3 - 0,Godoy Cruz
09-04-2023,Godoy Cruz,1 - 1,Tigre
13-04-2023,Arsenal de Sarandi,2 - 3,Godoy Cruz
18-04-2023,Godoy Cruz,4 - 4,Lanus
22-04-2023,CA Central Córdoba de Santiago del Estero,0 - 2,Godoy Cruz
27-04-2023,Sarmiento Junin,1 - 1,Godoy Cruz
05-05-2023,Godoy Cruz,0 - 0,Union Santa Fe
12-05-2023,Huracan,0 - 0,Godoy Cruz
19-05-2023,Godoy Cruz,2 - 0,Gimnasia LP
29-05-2023,Newells,2 - 0,Godoy Cruz
04-06-2023,Godoy Cruz,2 - 1,CA Independiente
13-06-2023,CA Tucuman,2 - 1,Godoy Cruz
23-06-2023,Godoy Cruz,4 - 0,Boca Juniors
02-07-2023,Talleres Cord.,1 - 1,Godoy Cruz
05-07-2023,Godoy Cruz,2 - 1,Platense
09-07-2023,Velez Sarsfield,1 - 1,Godoy Cruz
14-07-2023,Godoy Cruz,? - ?,Defensa y Justicia
28-01-2023,Defensa y Justicia,2 - 4,Huracan
07-02-2023,Huracan,3 - 2,Banfield
13-02-2023,Instituto Cordoba,0 - 0,Huracan
18-02-2023,Huracan,2 - 0,Barracas Central
26-02-2023,Colon,1 - 1,Huracan
05-03-2023,Huracan,1 - 1,San Lorenzo
12-03-2023,Estudiantes LP,2 - 1,Huracan
21-03-2023,Huracan,0 - 2,Rosario Central
02-04-2023,Racing Club,2 - 1,Huracan
09-04-2023,Huracan,0 - 3,River Plate
12-04-2023,Belgrano Cordoba,2 - 0,Huracan
16-04-2023,Huracan,0 - 0,Argentinos Jrs
25-04-2023,Tigre,1 - 0,Huracan
28-04-2023,Huracan,2 - 1,Arsenal de Sarandi
06-05-2023,Lanus,1 - 0,Huracan
12-05-2023,Huracan,0 - 0,Godoy Cruz
21-05-2023,Sarmiento Junin,0 - 0,Huracan
29-05-2023,Huracan,0 - 1,Union Santa Fe
03-06-2023,CA Central Córdoba de Santiago del Estero,2 - 0,Huracan
13-06-2023,Gimnasia LP,1 - 0,Huracan
23-06-2023,Huracan,1 - 1,Newells
02-07-2023,CA Independiente,1 - 0,Huracan
07-07-2023,Huracan,0 - 1,CA Tucuman
10-07-2023,Boca Juniors,1 - 0,Huracan
15-07-2023,Huracan,? - ?,Talleres Cord.
28-01-2023,Instituto Cordoba,0 - 0,Sarmiento Junin
06-02-2023,Union Santa Fe,0 - 2,Instituto Cordoba
13-02-2023,Instituto Cordoba,0 - 0,Huracan
17-02-2023,Gimnasia LP,2 - 0,Instituto Cordoba
27-02-2023,Instituto Cordoba,3 - 1,Newells
05-03-2023,CA Independiente,2 - 2,Instituto Cordoba
11-03-2023,Instituto Cordoba,1 - 1,CA Tucuman
19-03-2023,Boca Juniors,2 - 3,Instituto Cordoba
02-04-2023,Instituto Cordoba,0 - 3,Talleres Cord.
07-04-2023,Platense,1 - 0,Instituto Cordoba
12-04-2023,Instituto Cordoba,1 - 0,Velez Sarsfield
15-04-2023,Defensa y Justicia,1 - 0,Instituto Cordoba
23-04-2023,Instituto Cordoba,1 - 1,Banfield
29-04-2023,Instituto Cordoba,0 - 2,CA Central Córdoba de Santiago del Estero
05-05-2023,Barracas Central,3 - 0,Instituto Cordoba
13-05-2023,Instituto Cordoba,1 - 0,Colon
20-05-2023,San Lorenzo,2 - 0,Instituto Cordoba
29-05-2023,Instituto Cordoba,0 - 0,Estudiantes LP
03-06-2023,Rosario Central,4 - 1,Instituto Cordoba
13-06-2023,Instituto Cordoba,1 - 1,Racing Club
22-06-2023,River Plate,3 - 1,Instituto Cordoba
02-07-2023,Instituto Cordoba,1 - 0,Belgrano Cordoba
06-07-2023,Argentinos Jrs,0 - 0,Instituto Cordoba
09-07-2023,Instituto Cordoba,0 - 1,Tigre
17-07-2023,Arsenal de Sarandi,? - ?,Instituto Cordoba
28-01-2023,Colon,1 - 2,Lanus
05-02-2023,Lanus,2 - 1,San Lorenzo
13-02-2023,Estudiantes LP,0 - 2,Lanus
18-02-2023,Lanus,3 - 0,Rosario Central
27-02-2023,Racing Club,2 - 1,Lanus
04-03-2023,Lanus,0 - 2,River Plate
12-03-2023,Belgrano Cordoba,0 - 0,Lanus
21-03-2023,Lanus,0 - 0,Argentinos Jrs
02-04-2023,Tigre,2 - 1,Lanus
07-04-2023,Lanus,3 - 0,Arsenal de Sarandi
12-04-2023,CA Central Córdoba de Santiago del Estero,1 - 1,Lanus
18-04-2023,Godoy Cruz,4 - 4,Lanus
22-04-2023,Lanus,2 - 1,Sarmiento Junin
06-05-2023,Lanus,1 - 0,Huracan
15-05-2023,Gimnasia LP,1 - 0,Lanus
21-05-2023,Lanus,1 - 0,Newells
27-05-2023,CA Independiente,1 - 1,Lanus
05-06-2023,Lanus,2 - 1,CA Tucuman
10-06-2023,Boca Juniors,1 - 1,Lanus
17-06-2023,Union Santa Fe,1 - 1,Lanus
24-06-2023,Lanus,2 - 1,Talleres Cord.
30-06-2023,Platense,0 - 1,Lanus
04-07-2023,Lanus,0 - 1,Velez Sarsfield
09-07-2023,Defensa y Justicia,2 - 2,Lanus
16-07-2023,Lanus,? - ?,Banfield
29-01-2023,Platense,2 - 2,Newells
03-02-2023,Newells,1 - 0,Velez Sarsfield
11-02-2023,Defensa y Justicia,1 - 0,Newells
19-02-2023,Newells,2 - 0,Banfield
27-02-2023,Instituto Cordoba,3 - 1,Newells
05-03-2023,Newells,1 - 0,Barracas Central
14-03-2023,Colon,1 - 1,Newells
20-03-2023,Newells,1 - 0,San Lorenzo
31-03-2023,Estudiantes LP,3 - 0,Newells
09-04-2023,Newells,0 - 0,Rosario Central
12-04-2023,Racing Club,0 - 1,Newells
16-04-2023,Newells,0 - 1,River Plate
22-04-2023,Belgrano Cordoba,1 - 0,Newells
28-04-2023,Newells,0 - 0,Argentinos Jrs
08-05-2023,Tigre,2 - 2,Newells
13-05-2023,Newells,2 - 0,Arsenal de Sarandi
21-05-2023,Lanus,1 - 0,Newells
29-05-2023,Newells,2 - 0,Godoy Cruz
01-06-2023,Sarmiento Junin,0 - 0,Newells
12-06-2023,Newells,1 - 1,Union Santa Fe
23-06-2023,Huracan,1 - 1,Newells
03-07-2023,Newells,2 - 2,Gimnasia LP
08-07-2023,CA Central Córdoba de Santiago del Estero,2 - 0,Newells
11-07-2023,CA Independiente,0 - 2,Newells
17-07-2023,Newells,? - ?,CA Tucuman
29-01-2023,Platense,2 - 2,Newells
05-02-2023,CA Independiente,1 - 2,Platense
11-02-2023,Platense,1 - 1,CA Tucuman
19-02-2023,Boca Juniors,3 - 1,Platense
25-02-2023,Platense,2 - 4,Talleres Cord.
04-03-2023,Platense,1 - 1,CA Central Córdoba de Santiago del Estero
14-03-2023,Velez Sarsfield,1 - 1,Platense
18-03-2023,Platense,1 - 0,Defensa y Justicia
03-04-2023,Banfield,0 - 2,Platense
07-04-2023,Platense,1 - 0,Instituto Cordoba
11-04-2023,Barracas Central,1 - 0,Platense
17-04-2023,Platense,0 - 0,Colon
23-04-2023,San Lorenzo,1 - 0,Platense
27-04-2023,Platense,1 - 2,Estudiantes LP
07-05-2023,Rosario Central,4 - 0,Platense
14-05-2023,Platense,3 - 0,Racing Club
21-05-2023,River Plate,2 - 1,Platense
27-05-2023,Platense,1 - 0,Belgrano Cordoba
03-06-2023,Argentinos Jrs,1 - 0,Platense
10-06-2023,Platense,1 - 0,Tigre
25-06-2023,Arsenal de Sarandi,0 - 2,Platense
30-06-2023,Platense,0 - 1,Lanus
05-07-2023,Godoy Cruz,2 - 1,Platense
09-07-2023,Platense,1 - 0,Sarmiento Junin
15-07-2023,Union Santa Fe,? - ?,Platense
28-01-2023,Racing Club,0 - 0,Belgrano Cordoba
05-02-2023,Argentinos Jrs,1 - 0,Racing Club
