title,author,narrator,length,release_date,language,regular_price
Outwitting the Devil,"Napoleon Hill,Sharon L. Lechter - editor","Dan John Miller,Phil Gigante",5 hrs and 51 mins,2011-06-07,English,31.57
Deep Work,Cal Newport,Jeff Bottoms,7 hrs and 44 mins,2016-01-05,English,37.16
"Guns, Germs and Steel",Jared Diamond,Doug Ordunio,16 hrs and 20 mins,2011-01-18,English,43.86
The Song of Achilles,Madeline Miller,Frazer Douglas,11 hrs and 15 mins,2012-03-06,English,40.01
The War on Ivermectin,Pierre Kory,Troy Wolfe,10 hrs and 14 mins,2023-06-29,English,22.80
The Personal MBA: Master the Art of Business,Josh Kaufman,Josh Kaufman,15 hrs and 25 mins,2012-09-04,English,33.54
Only the Dead,Jack Carr,Ray Porter,15 hrs and 17 mins,2023-05-16,English,35.52
A Dance with Dragons,George R.R. Martin,Roy Dotrice,48 hrs and 55 mins,2011-07-12,English,61.41
The True Love Experiment,Christina Lauren,"Jonathan Cole,Cindy Kay",10 hrs and 52 mins,2023-05-16,English,29.60
The Intern,Serena Akeroyd,"Joe Arden,Jacob Morgan",7 hrs and 59 mins,2023-06-25,English,25.00
Lady Tan's Circle of Women,Lisa See,"Jennifer Lim,Justin Chien",13 hrs and 15 mins,2023-06-06,English,29.60
The Great Reset,Alex Jones,Joe Kredjetti,7 hrs and 30 mins,2022-10-12,English,22.80
Prepared,"Mike Glover,Jack Carr - foreword","Mike Glover,Ray Porter",5 hrs and 14 mins,2023-06-06,English,30.70
Maybe in Another Life,Taylor Jenkins Reid,Julia Whelan,9 hrs and 25 mins,2023-01-03,English,23.67
The Spare Room,Andrea Bartz,Brittany Pressley,11 hrs and 39 mins,2023-06-20,English,39.48
Never Lie,Freida McFadden,Leslie Howard,7 hrs and 21 mins,2022-11-08,English,61.39
The Drowning Woman,Robyn Harding,"Brittany Wilkerson,Henriette Zoutomou",9 hrs and 38 mins,2023-06-13,English,40.01
The Shift,Tinx,Tinx,5 hrs and 17 mins,2023-05-23,English,21.30
The Wall of Winnipeg and Me,Mariana Zapata,"Stephen Dexter,Emma Wilder",17 hrs and 51 mins,2023-07-04,English,55.75
Best Loser Wins,Tom Hougaard,Richard Faymonville,6 hrs and 48 mins,2022-07-18,English,25.00
The Montessori Baby,"Simone Davies,Junnifa Uzodike",Robin Miles,10 hrs and 51 mins,2022-08-02,English,40.01
"Change Your Thoughts, Change Your Life",Dr. Wayne W. Dyer,Dr. Wayne W. Dyer,9 hrs and 9 mins,2006-12-31,English,23.67
Birnam Wood,Eleanor Catton,Saskia Maarleveld,12 hrs and 47 mins,2023-03-03,English,25.96
Between Death and Life,Dolores Cannon,"Doug Warrings,Ted Snow,Carol Morrison",11 hrs and 19 mins,2016-01-28,English,31.27
The Meaning of Marriage,Timothy Keller,"Lloyd James,Marguerite Gavin",8 hrs and 15 mins,2011-11-01,English,32.42
Neville Goddard: The Complete Reader,Neville Goddard,Barry J. Peterson,14 hrs and 46 mins,2018-03-14,English,31.27
Happy Money,Ken Honda,Louis Ozawa Changchien,5 hrs and 24 mins,2019-06-04,English,21.30
A Dance with Dragons,George R.R. Martin,Roy Dotrice,48 hrs and 55 mins,2011-07-12,English,61.41
Sword of Destiny,"Andrzej Sapkowski,David French - Translator",Peter Kenny,12 hrs and 48 mins,2015-12-01,English,38.59
A Feast for Crows,George R.R. Martin,Roy Dotrice,33 hrs and 51 mins,2011-12-15,English,65.79
How to Talk So Little Kids Will Listen,"Joanna Faber,Julie King","Heather Alicia Simms,Michele Pawk,Candace Thaxton,January LaVoy,Rebekkah Ross,Gibson Frazier,Molly Pope",10 hrs and 8 mins,2017-01-10,English,26.30
Romancing Mister Bridgerton,Julia Quinn,Rosalyn Landor,13 hrs and 17 mins,2017-04-06,English,39.46
The Shadow of What Was Lost,James Islington,Michael Kramer,25 hrs and 28 mins,2015-02-10,English,50.12
